Sample	TYPE	N_READS	Estimated_Coverage
IN0116	PAIRED	26623926	77.5334
INA168	PAIRED	8360354	39.7572
IR00102	PAIRED	33852642	90.8864
IR0013	PAIRED	30192828	81.1359
IR0015	PAIRED	27939478	76.1147
IR0083	PAIRED	22859496	64.1425
IR0084	PAIRED	34956908	92.5545
IR0088	PAIRED	35696908	94.8495
IR0095	PAIRED	31449574	78.7283
IT0010	PAIRED	33557652	90.5142
JP0010	SINGLE	25260512	47.2728
JP0091	PAIRED	28497038	79.1571
JS08-611	PAIRED	18226934	53.0775
JS09-138	PAIRED	21351630	60.8898
JS-10-6-1-2	PAIRED	14914808	28.6928
JUM1	PAIRED	21402958	40.7812
JX-09Z116-1	PAIRED	20607940	40.3052
JX10-102	PAIRED	18860140	56.0378
JX11-141	PAIRED	21826694	63.3986
KA1-3-1	PAIRED	29360930	69.7633
KA2-1-1	PAIRED	25290224	60.6774
KE002	PAIRED	28804290	92.6006
KE016	PAIRED	26819544	86.3023
KE017	PAIRED	23460772	74.4579
KE019	PAIRED	16232674	53.0793
KE021	PAIRED	27734568	88.9922
KE029	PAIRED	28463068	79.6259
KE041	PAIRED	26846512	52.6944
KE210	PAIRED	13334342	25.9635
KE255	PAIRED	18439720	36.0668
KE332	PAIRED	63296566	134.937
KE415	PAIRED	29060596	65.5444
KE443	PAIRED	73998104	155.808
KE473	PAIRED	72053312	156.341
KE491	PAIRED	45296190	103.441
LA0005	SINGLE	1073978	11.0028
LA0021	SINGLE	1224764	12.6076
LpKY97	PAIRED	11266160	37.7636
MC0016	SINGLE	15472794	29.5333
MD0929	SINGLE	19086838	36.8033
MG01	PAIRED	38791096	69.6365
MG02	PAIRED	52779720	93.8557
MG03	PAIRED	26481428	49.2287
MG04	PAIRED	174077440	158.313
MG05	PAIRED	25295328	48.9834
MG07	PAIRED	45978516	82.6177
MG08	PAIRED	49382830	93.5518
MG10	PAIRED	21832656	43.8116
MG12	PAIRED	22189786	43.1557
ML0025	SINGLE	27201695	51.3264
ML0060	PAIRED	27341818	76.7392
ML0062	PAIRED	17952670	53.7875
MZ5-1-6	PAIRED	8469972	47.5436
NG0012	PAIRED	14213336	43.1601
NG0054	PAIRED	18668560	55.3237
NG0104	PAIRED	23910074	46.9712
NG0110	PAIRED	22342912	43.6671
NG0135	PAIRED	18542724	35.6655
NG0153	PAIRED	21352210	41.4823
Nich-2-3-2	PAIRED	15371370	39.8279
Nich-2-7-4	PAIRED	16655456	43.3286
NP0037	SINGLE	1140474	11.5594
NP0041	SINGLE	1458720	14.285
NP0052	SINGLE	1258305	12.5758
NP0061	SINGLE	760279	8.06404
P29	PAIRED	18669596	56.7951
PgKY4OV2.1	PAIRED	32262506	60.1272
PgPA18C-02	PAIRED	41738178	76.9278
PH0103	SINGLE	10962480	21.4986
PH0118	SINGLE	31854906	58.2339
PK1	PAIRED	569284	5.76614
PR0009	SINGLE	16556538	32.0611
PR003	PAIRED	3314408	16.0934
PY0925	PAIRED	52552596	91.6215
PY1	PAIRED	568586	5.43254
PY25.1	PAIRED	32197600	49.4532
PY3	PAIRED	662620	5.85339
PY35.3	PAIRED	107273666	154.83
PY36.1	PAIRED	47554866	42.7954
PY5002	PAIRED	37472382	28.6782
PY5003	PAIRED	46456262	41.5869
PY5010	PAIRED	31429640	56.4793
PY5033	PAIRED	47144692	42.0772
